sep=,
Group,BinaryPath,GitPath,URL,Name,Description,Language,Stars,Size,PushDate,hasIssues,Forks
codecentric,/run/media/roy/Data/top1000/codecentric-spring-boot-admin,/run/media/roy/Data/top1000/codecentric-spring-boot-admin,https://github.com/codecentric/spring-boot-admin,spring-boot-admin,Admin UI for administration of spring boot applications,Java,730,7735,Wed Jun 01 19:42:57 CEST 2016,true,252
psaravan,/run/media/roy/Data/top1000/psaravan-JamsMusicPlayer,/run/media/roy/Data/top1000/psaravan-JamsMusicPlayer,https://github.com/psaravan/JamsMusicPlayer,JamsMusicPlayer,A free powerful and elegant music player for Android.,Java,2086,26813,Tue Sep 01 09:20:05 CEST 2015,true,935
Prototik,/run/media/roy/Data/top1000/Prototik-HoloEverywhere,/run/media/roy/Data/top1000/Prototik-HoloEverywhere,https://github.com/Prototik/HoloEverywhere,HoloEverywhere,NO LONGER MAINTAINED. DEVELOP FOR 4.X+ DUDE.,Java,2284,25505,Sun Apr 17 15:59:06 CEST 2016,true,759
john990,/run/media/roy/Data/top1000/john990-WaveView,/run/media/roy/Data/top1000/john990-WaveView,https://github.com/john990/WaveView,WaveView,A wave view of androidcan be used as progress bar.,Java,779,2701,Tue Apr 05 08:59:58 CEST 2016,true,214
CellularPrivacy,/run/media/roy/Data/top1000/CellularPrivacy-Android-IMSI-Catcher-Detector,/run/media/roy/Data/top1000/CellularPrivacy-Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,Android-IMSI-Catcher-Detector,AIMSICD • Fight IMSI-Catcher StingRay and silent SMS!,Java,2021,243847,Sat May 28 00:45:40 CEST 2016,true,386
JakeWharton,/run/media/roy/Data/top1000/JakeWharton-Telecine,/run/media/roy/Data/top1000/JakeWharton-Telecine,https://github.com/JakeWharton/Telecine,Telecine,Record full-resolution video on your Android devices.,Java,1567,2288,Mon May 30 21:16:52 CEST 2016,true,250
linfaxin,/run/media/roy/Data/top1000/linfaxin-TransitionPlayer,/run/media/roy/Data/top1000/linfaxin-TransitionPlayer,https://github.com/linfaxin/TransitionPlayer,TransitionPlayer,Android library to control Transition animates. A simple way to create a interactive animation.,Java,1016,2142,Thu Aug 20 17:12:51 CEST 2015,true,221
adnan-SM,/run/media/roy/Data/top1000/adnan-SM-TimelyTextView,/run/media/roy/Data/top1000/adnan-SM-TimelyTextView,https://github.com/adnan-SM/TimelyTextView,TimelyTextView,Animated TextView like Timely app,Java,743,1672,Fri Oct 30 13:20:15 CET 2015,true,133
skylot,/run/media/roy/Data/top1000/skylot-jadx,/run/media/roy/Data/top1000/skylot-jadx,https://github.com/skylot/jadx,jadx,Dex to Java decompiler,Java,2570,5699,Thu May 12 12:42:26 CEST 2016,true,492
pwnall,/run/media/roy/Data/top1000/pwnall-chromeview,/run/media/roy/Data/top1000/pwnall-chromeview,https://github.com/pwnall/chromeview,chromeview,Android WebView implementation that uses the latest Chromium code,Java,1254,90005,Wed Nov 12 09:22:05 CET 2014,true,383
