Name;Group;Description;Head;Forks;Stars;Size;Language;HasIssues;PushDate;URL;BinaryPath;GitPath
react-native;facebook;A framework for building native apps with React.;572a85fa24f2d2b4d5e2b05cdbfc88f3a4bbc2e0;6766;32996;106579;Java;TRUE;Thu Jun 02 10:39:59 CEST 2016;https://github.com/facebook/react-native;C:\Users\royw\Workspace\top1000\facebook-react-native;C:\Users\royw\Workspace\top1000\facebook-react-native
elasticsearch;elastic;Open Source Distributed RESTful Search Engine;c20bf5d7475268a61a82e1b83cd1d1c314c30883;5665;16773;321408;Java;TRUE;Thu Jun 02 10:18:22 CEST 2016;https://github.com/elastic/elasticsearch;C:\Users\royw\Workspace\top1000\elastic-elasticsearch;C:\Users\royw\Workspace\top1000\elastic-elasticsearch
RxJava;ReactiveX;RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.;44947d94422f68eaf5b46eddc29eebae427297e3;2374;14220;34500;Java;TRUE;Thu Jun 02 08:17:26 CEST 2016;https://github.com/ReactiveX/RxJava;C:\Users\royw\Workspace\top1000\ReactiveX-RxJava;C:\Users\royw\Workspace\top1000\ReactiveX-RxJava
Android-Universal-Image-Loader;nostra13;Powerful and flexible library for loading caching and displaying images on Android.;4c728792d73e964f6d8501f742cda57dd56731c6;5913;13038;25335;Java;TRUE;Mon Mar 07 22:23:31 CET 2016;https://github.com/nostra13/Android-Universal-Image-Loader;C:\Users\royw\Workspace\top1000\nostra13-Android-Universal-Image-Loader;C:\Users\royw\Workspace\top1000\nostra13-Android-Universal-Image-Loader
retrofit;square;Type-safe HTTP client for Android and Java by Square Inc.;1da3a185a0ada1362c3f2ebf461fc44093e575d1;2575;12881;59809;Java;TRUE;Thu May 26 22:46:43 CEST 2016;https://github.com/square/retrofit;C:\Users\royw\Workspace\top1000\square-retrofit;C:\Users\royw\Workspace\top1000\square-retrofit
okhttp;square;An HTTP+HTTP/2 client for Android and Java applications.;63ae84d0e647e43d381406a847061d46dcc30448;3047;11709;18125;Java;TRUE;Thu Jun 02 00:21:53 CEST 2016;https://github.com/square/okhttp;C:\Users\royw\Workspace\top1000\square-okhttp;C:\Users\royw\Workspace\top1000\square-okhttp
java-design-patterns;iluwatar;Design patterns implemented in Java;f6649a4fed783f7278bbfe2102a757a72cd5e38d;3938;11700;13931;Java;TRUE;Tue May 31 22:26:44 CEST 2016;https://github.com/iluwatar/java-design-patterns;C:\Users\royw\Workspace\top1000\iluwatar-java-design-patterns;C:\Users\royw\Workspace\top1000\iluwatar-java-design-patterns
iosched;google;The Google I/O 2015 Android App;2531cbdbe27e5795eb78bf47d27e8c1be494aad4;4361;11159;23148;Java;TRUE;Sun May 29 22:48:53 CEST 2016;https://github.com/google/iosched;C:\Users\royw\Workspace\top1000\google-iosched;C:\Users\royw\Workspace\top1000\google-iosched
android-best-practices;futurice;Do's and Don'ts for Android development by Futurice developers;7938239c72d8a861c2fd0102526f6d80723597b6;1940;10283;582;Java;TRUE;Fri May 13 12:50:53 CEST 2016;https://github.com/futurice/android-best-practices;C:\Users\royw\Workspace\top1000\futurice-android-best-practices;C:\Users\royw\Workspace\top1000\futurice-android-best-practices
picasso;square;A powerful image downloading and caching library for Android;1ba6e09beb01bf67cdc4d02a205d102487b47326;2847;10125;13489;Java;TRUE;Tue May 24 17:42:27 CEST 2016;https://github.com/square/picasso;C:\Users\royw\Workspace\top1000\square-picasso;C:\Users\royw\Workspace\top1000\square-picasso
