Group;Name;Head;Files;CLOC;SLOC;Faults;Changes;Authors;Age;Dev;FDist20;CinF20;FGini;CGini
500px;500px-android-blur;c8bc82cea7858534523a2d73e839726c1f85fe18;;;;;;;;;;;;
redwarp;9-Patch-Resizer;4cf91e25f2631da672dbc28800ba1e471e25ece9;21;1658;778;191;12;4;1460;1123;83;24;0,63;0,74
stormzhang;9GAG;39d79e41d05c3b3e18698d47199deaeeeceefb48;55;4496;1304;150;3;4;800;721;100;20;0,58;0,97
north2014;A-MusicView;051ed6e2ae7d4e375d1e4eed4022414e0de3a735;;;;;;;;;;;;
mikepenz;AboutLibraries;a7a64672ad7a4061501b67fc056b06f7560fd833;25;2203;745;144;32;8;579;513;68;55;0,56;0,69
ACRA;acra;7d857263c0d317959309da767d4a283ce6a99899;76;6032;3519;1594;174;31;1361;1339;70;42;0,56;0,68
chrisbanes;ActionBar-PullToRefresh;f347ef96c2643fecee7cbf671db05c0487666dff;52;3490;1421;53;1;1;797;0;100;13;0,48;0,98
JakeWharton;ActionBarSherlock;2c71339e756bcc0b1424c4525680549ba3a2dc97;157;25316;11114;388;25;13;1305;265;100;5;0,57;0,93
pardom;ActiveAndroid;08c6335cd7324c6e72da536b0c6fffa5a798f6a2;33;2536;726;390;95;33;1880;1277;66;54;0,51;0,61
Activiti;Activiti;9bddf5daa748e58db1262cbb8d9fe7bee21c1110;1856;130603;49658;21294;1877;133;1354;1352;72;8;0,58;0,72
actorapp;actor-platform;9fb726d3ed2878ee152f0ef5db769fca7af9423b;1576;115202;19043;6721;1011;11;228;225;90;6;0,66;0,86
pbreault;adb-idea;3348db02f4bd63fb1961c54a74203518d10e51f8;;;;;;;;;;;;
chiuki;advanced-textview;37a5fabedec428c274b1fdf8db128123f8f63e07;18;817;11;30;1;3;588;200;100;14;0,38;0,94
real-logic;Aeron;ceb3942c56f40f3cbfacf09bf219372bf467d335;198;15666;7573;392;11;5;69;67;100;1;0,55;0,97
airbnb;aerosolve;76d9fa2a1fc7b10b82f21617f71bbda9da9cca06;105;7922;700;866;88;8;386;385;72;9;0,43;0,74
iPaulPro;aFileChooser;48d65e6649d4201407702b0390326ec9d5c9d17c;7;893;396;35;10;4;1630;727;60;50;0,3;0,46
yangfuhai;afinal;5fce6d71f6baa9cd0bea5eeb7258a33943b6284c;63;6927;4501;219;40;7;1311;492;77;19;0,65;0,77
google;agera;46db3cee8d04141d9ede41829976ce28381e20ca;35;4759;2903;70;17;3;43;42;58;9;0,56;0,66
aurelhubert;ahbottomnavigation;a8df9c85c1ef260d2e2c1d26c7761e1ecaf4c0d1;10;1727;476;74;25;5;77;68;72;88;0,53;0,7
airbnb;AirMapView;fb194a08824ad09be18481af771c53bceb485038;41;2400;304;466;62;14;462;442;85;63;0,68;0,79
airbnb;airpal;550ad14a589a41c95a7a82d14560f3995c419188;108;6945;88;521;57;13;756;719;92;10;0,51;0,83
wangdan;AisenWeiBo;e144190130cb807f0059dbdf5d5339403790eee4;;;;;;;;;;;;
pedrovgs;Algorithms;e121b3943958ba1558d8828db6f13c632e99f298;85;2859;2749;241;13;8;549;526;100;8;0,28;0,92
Alluxio;alluxio;402e9da23b2c8a3e5419d275cc173e5da816759c;554;44737;28385;21075;5140;60;118;117;37;12;0,51;0,27
twitter;ambrose;24a51362e050b83ca69e1fb2670e93000655ad8b;50;3902;1540;597;98;8;1483;1104;56;18;0,42;0,58
nicolasgramlich;AndEngine;720897f99d2c56ba357e8fe361454bd8d88c37ed;596;34114;19187;2350;134;20;1653;723;100;2;0,58;0,89
shwenzhang;AndResGuard;ba2a8f18fa217d6bd9778ab5adce0a8d74391c95;32;4127;715;169;43;4;147;136;58;40;0,56;0,6
owncloud;android;77a9e623136a19f18517928c7e338d15525180a9;176;31496;10948;12317;1674;40;1401;1400;66;47;0,56;0,62
hmkcode;Android;68acc1ea044a6aa61756e6010446aa86b8d61d28;;;;;;;;;;;;
CommonUtils;android;NIL;;;;;;;;;;;;
Freelander;Android_Data;d64d9d6c7012633ec2f25c070f871f30ee9aea67;5;1595;584;148;9;5;1881;424;44;92;0,37;0,49
simple-android-framework;android_design_patterns_analysis;cd162e19fbcf32adf40fb0c423a0b978b01a79df;4;457;35;55;6;6;41;17;100;0;0,5;0,75
harism;android_page_curl;7a2c8f152bb4f1b0de3b1aa72b3cb79e1fe8e3bd;4;327;107;41;11;8;2003;768;63;0;0,34;0,43
medyo;android-about-page;e04648f61110e5b3961d84da9b5fbae112379b2b;8;664;63;51;3;4;563;487;66;26;0,35;0,63
johannilsson;android-actionbar;47157b28766b540d166073f26c43ed5a2c14bfb3;160;17398;5258;1160;210;10;489;473;83;30;0,59;0,81
mikepenz;Android-ActionItemBadge;def2e0de61904c8e12335bc3aa01750e7c7874cf;21;11691;3050;93;10;13;1112;395;100;3;0,59;0,76
h6ah4i;android-advancedrecyclerview;5d3685a58c84c9109a935087cd178e0efc4a8b28;3;640;471;50;7;8;1395;853;42;0;0,11;0,19
eoecn;android-app;79611f31f71492483dcf23733d5c161b8db69038;83;7368;3440;1132;236;38;956;882;72;38;0,49;0,7
johnkil;Android-AppMsg;e7fdd7870530a24e6d825278ee0863be0521e8b8;2;212;148;22;5;5;830;383;100;0;0,41;0,5
loopj;android-async-http;f53deef7ad5b02b42b59dab92f66dec4fde8e1f6;4;521;233;23;7;1;832;340;57;0;0,45;0,46
Trinea;android-auto-scroll-view-pager;c029a4bca5643b61f87c34e65ccb025130f87253;63;5642;2823;921;119;26;685;655;82;56;0,61;0,77
grantland;android-autofittextview;5c565aa5c3ed62aaa31140440bb526e7435e7947;128;16000;3556;883;107;14;582;572;74;7;0,57;0,73
AltBeacon;android-beacon-library;1c091d8f6bb0bc5c36969cc95536b5ec7aa438f4;17;1279;650;219;42;1;1419;384;71;67;0,54;0,62
futurice;android-best-practices;7938239c72d8a861c2fd0102526f6d80723597b6;;;;;;;;;;;;
code-troopers;android-betterpickers;71565c439fdf706fd0984f1a1ef54cf873e9db52;36;1407;51;99;12;2;426;311;91;17;0,41;0,8
