Class, WMC, DIT, NOC, CBO, RFC, LCOM, DAC, MPC, NOM, SIZE1, SIZE2
org.junit.experimental.theories.internal.org.junit.experimental.theories.internal.SpecificDataPointsSupplier, 13, 3, 0, 9, 23, 0, 0, 49, 1, 172, 5
org.junit.experimental.runners.org.junit.experimental.runners.Enclosed, 5, 4, 0, 7, 11, 0, 0, 9, 1, 45, 2
org.junit.internal.runners.statements.org.junit.internal.runners.statements.RunBefores, 4, 2, 0, 8, 8, 0, 1, 6, 2, 38, 5
org.junit.org.junit.Assume, 15, 1, 0, 7, 25, 0, 0, 20, 10, 71, 10
org.junit.experimental.theories.suppliers.org.junit.experimental.theories.suppliers.TestedOn, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 1
org.junit.experimental.max.org.junit.experimental.max.MaxCore, 22, 1, 0, 16, 61, 0, 0, 70, 7, 220, 15
org.junit.runner.notification.org.junit.runner.notification.RunNotifier, 23, 1, 0, 10, 44, 0, 0, 33, 12, 155, 18
org.junit.runners.model.org.junit.runners.model.RunnerBuilder, 14, 1, 7, 11, 25, 0, 0, 18, 5, 106, 9
org.junit.internal.org.junit.internal.ComparisonCriteria, 17, 1, 2, 5, 22, 0, 0, 37, 2, 147, 5
org.junit.experimental.theories.org.junit.experimental.theories.ParameterSignature, 33, 1, 0, 17, 49, 0, 0, 49, 10, 262, 20
org.junit.internal.runners.rules.org.junit.internal.runners.rules.RuleMemberValidator, 17, 1, 0, 10, 42, 0, 0, 63, 1, 196, 19
org.junit.runners.model.org.junit.runners.model.Statement, 2, 1, 7, 3, 3, 0, 0, 1, 2, 3, 2
org.junit.runner.manipulation.org.junit.runner.manipulation.NoTestsRemainException, 1, 3, 0, 2, 2, 0, 0, 1, 1, 4, 2
org.junit.internal.runners.org.junit.internal.runners.InitializationError, 4, 3, 0, 6, 9, 0, 0, 5, 4, 28, 6
org.junit.internal.runners.org.junit.internal.runners.SuiteMethod, 5, 3, 1, 6, 14, 0, 0, 13, 2, 46, 2
org.junit.org.junit.BeforeClass, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0
org.junit.runner.manipulation.org.junit.runner.manipulation.Filter, 11, 1, 0, 6, 12, 0, 1, 5, 6, 42, 8
org.junit.internal.org.junit.internal.ExactComparisonCriteria, 2, 2, 0, 3, 4, 0, 0, 2, 1, 7, 2
junit.extensions.junit.extensions.TestDecorator, 6, 2, 2, 5, 11, 0, 1, 5, 6, 27, 7
org.junit.runner.org.junit.runner.FilterFactory, 1, 1, 0, 4, 1, 0, 0, 0, 1, 0, 1
org.junit.experimental.theories.internal.org.junit.experimental.theories.internal.ParameterizedAssertionError, 10, 4, 0, 8, 24, 0, 0, 21, 5, 79, 7
org.junit.org.junit.AssumptionViolatedException, 4, 5, 0, 8, 8, 0, 0, 4, 4, 21, 5
org.junit.experimental.theories.org.junit.experimental.theories.Theory, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 1
org.junit.rules.org.junit.rules.Verifier, 4, 1, 1, 6, 5, 0, 0, 2, 2, 10, 3
org.junit.validator.org.junit.validator.PublicClassValidator, 4, 1, 0, 5, 12, 0, 0, 11, 2, 28, 4
junit.extensions.junit.extensions.RepeatedTest, 7, 3, 0, 5, 13, 0, 0, 10, 4, 47, 5
org.junit.experimental.max.org.junit.experimental.max.CouldNotReadCoreException, 1, 3, 0, 3, 2, 0, 0, 1, 1, 5, 2
org.junit.runner.manipulation.org.junit.runner.manipulation.Sortable, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 1
junit.extensions.junit.extensions.TestSetup, 6, 3, 0, 6, 7, 0, 0, 3, 2, 17, 4
org.junit.runners.org.junit.runners.MethodSorters, 5, 2, 0, 5, 9, 0, 0, 6, 3, 62, 10
org.junit.rules.org.junit.rules.MethodRule, 1, 1, 0, 3, 1, 0, 0, 0, 1, 0, 1
org.junit.internal.runners.model.org.junit.internal.runners.model.MultipleFailureException, 1, 4, 0, 4, 2, 0, 0, 1, 1, 5, 2
org.junit.internal.org.junit.internal.JUnitSystem, 2, 1, 0, 3, 2, 0, 0, 0, 2, 0, 2
org.junit.runners.model.org.junit.runners.model.FrameworkMember, 11, 1, 2, 9, 17, 0, 0, 9, 6, 30, 9
org.junit.runners.org.junit.runners.ParentRunner, 54, 2, 2, 29, 106, 0, 1, 121, 6, 528, 38
org.junit.internal.org.junit.internal.MethodSorter, 6, 1, 0, 8, 13, 0, 0, 9, 1, 38, 6
junit.framework.junit.framework.TestSuite, 47, 1, 1, 20, 84, 1, 0, 150, 20, 501, 28
org.junit.internal.builders.org.junit.internal.builders.JUnit4Builder, 3, 2, 0, 6, 4, 0, 0, 2, 2, 8, 2
org.junit.internal.runners.org.junit.internal.runners.JUnit4ClassRunner, 27, 2, 0, 26, 67, 0, 0, 61, 5, 223, 20
org.junit.runners.model.org.junit.runners.model.RunnerScheduler, 2, 1, 0, 3, 2, 0, 0, 0, 2, 0, 2
org.junit.internal.runners.org.junit.internal.runners.ClassRoadie, 9, 1, 0, 9, 22, 0, 0, 26, 2, 124, 10
org.junit.runners.model.org.junit.runners.model.MultipleFailureException, 8, 3, 1, 8, 23, 0, 0, 21, 4, 82, 6
org.junit.rules.org.junit.rules.TestName, 3, 2, 0, 4, 5, 0, 0, 2, 2, 12, 4
org.junit.internal.runners.model.org.junit.internal.runners.model.EachTestNotifier, 9, 1, 0, 8, 20, 0, 0, 14, 6, 73, 9
org.junit.org.junit.AfterClass, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0
org.junit.internal.runners.org.junit.internal.runners.MethodValidator, 17, 1, 0, 9, 36, 0, 0, 75, 6, 227, 9
org.junit.internal.runners.org.junit.internal.runners.MethodRoadie, 18, 1, 0, 12, 46, 0, 0, 66, 4, 267, 13
