sep=,
Name,Group,URL,gitPath,binaryPath,Language,Stars,Forks,Size,PushDate
react-native,facebook,https://github.com/facebook/react-native,NIL,NIL,Java,32790,6685,105104,Sat May 28 15:50:23 CEST 2016
elasticsearch,elastic,https://github.com/elastic/elasticsearch,NIL,NIL,Java,16698,5640,320138,Sat May 28 14:17:19 CEST 2016
RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,NIL,NIL,Java,14098,2334,34225,Fri May 27 22:18:09 CEST 2016
Android-Universal-Image-Loader,nostra13,https://github.com/nostra13/Android-Universal-Image-Loader,NIL,NIL,Java,12989,5890,25335,Mon Mar 07 22:23:31 CET 2016
retrofit,square,https://github.com/square/retrofit,NIL,NIL,Java,12772,2546,59809,Thu May 26 22:46:43 CEST 2016
java-design-patterns,iluwatar,https://github.com/iluwatar/java-design-patterns,NIL,NIL,Java,11622,3905,13931,Sun May 22 08:55:53 CEST 2016
okhttp,square,https://github.com/square/okhttp,NIL,NIL,Java,11577,3001,17806,Fri May 27 14:40:20 CEST 2016
iosched,google,https://github.com/google/iosched,NIL,NIL,Java,11125,4345,23148,Fri May 20 19:29:04 CEST 2016
android-best-practices,futurice,https://github.com/futurice/android-best-practices,NIL,NIL,Java,10194,1920,582,Fri May 13 12:50:53 CEST 2016
picasso,square,https://github.com/square/picasso,NIL,NIL,Java,10062,2827,13489,Tue May 24 17:42:27 CEST 2016
EventBus,greenrobot,https://github.com/greenrobot/EventBus,NIL,NIL,Java,9890,2716,2167,Wed May 11 12:47:13 CEST 2016
guava,google,https://github.com/google/guava,NIL,NIL,Java,9490,2210,115893,Sat May 28 03:59:44 CEST 2016
SlidingMenu,jfeinstein10,https://github.com/jfeinstein10/SlidingMenu,NIL,NIL,Java,9410,5392,32085,Mon Feb 29 02:30:55 CET 2016
butterknife,JakeWharton,https://github.com/JakeWharton/butterknife,NIL,NIL,Java,9370,2057,3648,Fri May 27 00:05:00 CEST 2016
fresco,facebook,https://github.com/facebook/fresco,NIL,NIL,Java,9302,2695,16189,Sat May 28 14:11:08 CEST 2016
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,NIL,NIL,Java,9268,3009,20293,Sat May 28 15:53:01 CEST 2016
leakcanary,square,https://github.com/square/leakcanary,NIL,NIL,Java,9130,1523,14921,Wed May 18 05:22:56 CEST 2016
zxing,zxing,https://github.com/zxing/zxing,NIL,NIL,Java,9031,5039,266775,Wed May 25 21:14:39 CEST 2016
spring-framework,spring-projects,https://github.com/spring-projects/spring-framework,NIL,NIL,Java,9003,7420,162424,Sat May 28 13:51:16 CEST 2016
android-async-http,loopj,https://github.com/loopj/android-async-http,NIL,NIL,Java,8834,4161,4077,Tue May 03 01:54:23 CEST 2016
storm,nathanmarz,https://github.com/nathanmarz/storm,NIL,NIL,Java,8796,1760,27015,Wed May 04 18:02:55 CEST 2016
libgdx,libgdx,https://github.com/libgdx/libgdx,NIL,NIL,Java,8777,4626,989363,Fri May 27 20:55:09 CEST 2016
glide,bumptech,https://github.com/bumptech/glide,NIL,NIL,Java,8536,1783,25878,Fri May 20 01:12:46 CEST 2016
androidannotations,excilys,https://github.com/excilys/androidannotations,NIL,NIL,Java,7654,2167,25624,Thu May 26 23:30:03 CEST 2016
ViewPagerIndicator,JakeWharton,https://github.com/JakeWharton/ViewPagerIndicator,NIL,NIL,Java,7520,3954,8657,Mon Apr 04 05:23:27 CEST 2016
ActionBarSherlock,JakeWharton,https://github.com/JakeWharton/ActionBarSherlock,NIL,NIL,Java,7275,4196,21244,Thu Dec 17 18:54:50 CET 2015
HomeMirror,HannahMitt,https://github.com/HannahMitt/HomeMirror,NIL,NIL,Java,7110,578,5989,Fri May 20 20:54:57 CEST 2016
RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,NIL,NIL,Java,7072,1192,1281,Wed May 11 15:05:58 CEST 2016
netty,netty,https://github.com/netty/netty,NIL,NIL,Java,6947,3540,67636,Sat May 28 13:15:54 CEST 2016
Android-PullToRefresh,chrisbanes,https://github.com/chrisbanes/Android-PullToRefresh,NIL,NIL,Java,6878,4708,4286,Wed Apr 27 15:32:00 CEST 2016
MaterialDesignLibrary,navasmdc,https://github.com/navasmdc/MaterialDesignLibrary,NIL,NIL,Java,6725,2099,9901,Tue Apr 26 21:25:25 CEST 2016
PhotoView,chrisbanes,https://github.com/chrisbanes/PhotoView,NIL,NIL,Java,6412,2260,33539,Mon May 16 18:50:08 CEST 2016
material-dialogs,afollestad,https://github.com/afollestad/material-dialogs,NIL,NIL,Java,6226,1277,153350,Mon May 16 00:07:07 CEST 2016
Hystrix,Netflix,https://github.com/Netflix/Hystrix,NIL,NIL,Java,6008,1111,9857,Sat May 28 00:39:07 CEST 2016
Android-ObservableScrollView,ksoichiro,https://github.com/ksoichiro/Android-ObservableScrollView,NIL,NIL,Java,5821,1516,13780,Sun Feb 14 11:03:57 CET 2016
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,NIL,NIL,Java,5656,5601,47706,Fri May 27 22:35:44 CEST 2016
AndroidSwipeLayout,daimajia,https://github.com/daimajia/AndroidSwipeLayout,NIL,NIL,Java,5589,1647,516,Tue Apr 19 05:48:06 CEST 2016
java8-tutorial,winterbe,https://github.com/winterbe/java8-tutorial,NIL,NIL,Java,5446,732,203,Tue Mar 22 11:37:08 CET 2016
physical-web,google,https://github.com/google/physical-web,NIL,NIL,Java,5376,652,12957,Thu May 26 18:47:55 CEST 2016
clojure,clojure,https://github.com/clojure/clojure,NIL,NIL,Java,5350,924,16290,Thu May 26 15:59:05 CEST 2016
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,NIL,NIL,Java,5326,289,1043,Tue Feb 02 18:35:46 CET 2016
Material-Animations,lgvalle,https://github.com/lgvalle/Material-Animations,NIL,NIL,Java,5306,948,8730,Sun May 15 19:30:33 CEST 2016
cheesesquare,chrisbanes,https://github.com/chrisbanes/cheesesquare,NIL,NIL,Java,5285,1289,1535,Thu May 05 14:25:55 CEST 2016
android-UniversalMusicPlayer,googlesamples,https://github.com/googlesamples/android-UniversalMusicPlayer,NIL,NIL,Java,5276,1604,7803,Wed Apr 06 20:52:20 CEST 2016
fastjson,alibaba,https://github.com/alibaba/fastjson,NIL,NIL,Java,5263,2088,10249,Wed May 25 20:25:05 CEST 2016
kotlin,JetBrains,https://github.com/JetBrains/kotlin,NIL,NIL,Java,5204,554,658681,Fri May 27 21:25:15 CEST 2016
MaterialDrawer,mikepenz,https://github.com/mikepenz/MaterialDrawer,NIL,NIL,Java,5202,1076,21444,Tue May 24 18:42:40 CEST 2016
Android-Bootstrap,Bearded-Hen,https://github.com/Bearded-Hen/Android-Bootstrap,NIL,NIL,Java,5202,1187,14691,Fri May 06 21:45:09 CEST 2016
dagger,square,https://github.com/square/dagger,NIL,NIL,Java,5161,1305,3542,Tue May 10 06:00:55 CEST 2016
android-Ultra-Pull-To-Refresh,liaohuqiu,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,NIL,NIL,Java,5142,1842,3474,Mon May 23 03:21:43 CEST 2016
AndroidViewAnimations,daimajia,https://github.com/daimajia/AndroidViewAnimations,NIL,NIL,Java,5139,1331,883,Thu Mar 10 14:31:32 CET 2016
plaid,nickbutcher,https://github.com/nickbutcher/plaid,NIL,NIL,Java,5131,890,26211,Tue May 24 15:27:41 CEST 2016
agera,google,https://github.com/google/agera,NIL,NIL,Java,5093,406,909,Thu May 26 19:44:56 CEST 2016
stetho,facebook,https://github.com/facebook/stetho,NIL,NIL,Java,5005,471,2228,Sun May 08 16:46:41 CEST 2016
ListViewAnimations,nhaarman,https://github.com/nhaarman/ListViewAnimations,NIL,NIL,Java,5003,1742,23973,Thu Jan 14 17:33:42 CET 2016
PagerSlidingTabStrip,astuetz,https://github.com/astuetz/PagerSlidingTabStrip,NIL,NIL,Java,4999,2496,27853,Mon May 23 13:30:35 CEST 2016
realm-java,realm,https://github.com/realm/realm-java,NIL,NIL,Java,4977,648,61644,Fri May 27 20:16:53 CEST 2016
Android-CleanArchitecture,android10,https://github.com/android10/Android-CleanArchitecture,NIL,NIL,Java,4922,1285,5352,Sun May 22 12:42:30 CEST 2016
junit4,junit-team,https://github.com/junit-team/junit4,NIL,NIL,Java,4888,1919,36687,Fri May 27 21:10:28 CEST 2016
AndroidSlidingUpPanel,umano,https://github.com/umano/AndroidSlidingUpPanel,NIL,NIL,Java,4848,1578,2658,Wed May 25 12:34:36 CEST 2016
vert.x,eclipse,https://github.com/eclipse/vert.x,NIL,NIL,Java,4817,940,366147,Sat May 28 13:48:06 CEST 2016
presto,prestodb,https://github.com/prestodb/presto,NIL,NIL,Java,4781,1413,153309,Sat May 28 02:42:11 CEST 2016
greenDAO,greenrobot,https://github.com/greenrobot/greenDAO,NIL,NIL,Java,4733,1705,10530,Sat May 28 11:41:45 CEST 2016
MaterialViewPager,florent37,https://github.com/florent37/MaterialViewPager,NIL,NIL,Java,4700,921,19666,Fri May 27 14:20:09 CEST 2016
platform_frameworks_base,android,https://github.com/android/platform_frameworks_base,NIL,NIL,Java,4504,3705,2083890,Fri May 27 23:21:56 CEST 2016
ion,koush,https://github.com/koush/ion,NIL,NIL,Java,4479,838,12706,Thu May 26 05:12:13 CEST 2016
dropwizard,dropwizard,https://github.com/dropwizard/dropwizard,NIL,NIL,Java,4434,1962,34886,Fri May 27 19:04:19 CEST 2016
bazel,bazelbuild,https://github.com/bazelbuild/bazel,NIL,NIL,Java,4377,502,210780,Fri May 27 15:01:11 CEST 2016
dubbo,alibaba,https://github.com/alibaba/dubbo,NIL,NIL,Java,4356,4554,10440,Sat May 14 15:24:05 CEST 2016
cardslib,gabrielemariotti,https://github.com/gabrielemariotti/cardslib,NIL,NIL,Java,4337,1244,30628,Wed Jan 20 10:40:14 CET 2016
disruptor,LMAX-Exchange,https://github.com/LMAX-Exchange/disruptor,NIL,NIL,Java,4310,1161,8214,Wed May 11 07:01:26 CEST 2016
AppIntro,PaoloRotolo,https://github.com/PaoloRotolo/AppIntro,NIL,NIL,Java,4271,743,9507,Sat May 28 01:13:41 CEST 2016
spark,perwendel,https://github.com/perwendel/spark,NIL,NIL,Java,4223,878,3760,Sun May 22 19:02:04 CEST 2016
AndroidStaggeredGrid,etsy,https://github.com/etsy/AndroidStaggeredGrid,NIL,NIL,Java,4212,1162,878,Wed Sep 23 17:58:34 CEST 2015
xUtils,wyouflf,https://github.com/wyouflf/xUtils,NIL,NIL,Java,4191,2947,34986,Wed Jan 27 02:55:00 CET 2016
otto,square,https://github.com/square/otto,NIL,NIL,Java,4178,813,1080,Thu Jan 21 13:46:16 CET 2016
android-bootstrap,AndroidBootstrap,https://github.com/AndroidBootstrap/android-bootstrap,NIL,NIL,Java,4123,1289,1917,Thu Dec 03 00:54:05 CET 2015
coursera-android,aporter,https://github.com/aporter/coursera-android,NIL,NIL,Java,4110,5835,19404,Thu Oct 29 14:26:10 CET 2015
j2objc,google,https://github.com/google/j2objc,NIL,NIL,Java,4106,526,37314,Fri May 27 22:06:22 CEST 2016
flexbox-layout,google,https://github.com/google/flexbox-layout,NIL,NIL,Java,4076,349,16541,Fri May 27 12:04:01 CEST 2016
SimianArmy,Netflix,https://github.com/Netflix/SimianArmy,NIL,NIL,Java,4066,549,15555,Sat May 28 03:08:07 CEST 2016
metrics,dropwizard,https://github.com/dropwizard/metrics,NIL,NIL,Java,3987,1066,19554,Tue May 24 05:22:33 CEST 2016
StickyListHeaders,emilsjolander,https://github.com/emilsjolander/StickyListHeaders,NIL,NIL,Java,3964,1331,3866,Thu Apr 14 03:38:07 CEST 2016
Calligraphy,chrisjenx,https://github.com/chrisjenx/Calligraphy,NIL,NIL,Java,3923,515,1764,Thu May 12 21:08:07 CEST 2016
CircleImageView,hdodenhof,https://github.com/hdodenhof/CircleImageView,NIL,NIL,Java,3897,1266,4607,Mon May 16 17:27:57 CEST 2016
nokogiri,sparklemotion,https://github.com/sparklemotion/nokogiri,NIL,NIL,Java,3869,544,33863,Fri May 27 20:36:27 CEST 2016
twoway-view,lucasr,https://github.com/lucasr/twoway-view,NIL,NIL,Java,3837,869,2554,Mon Feb 29 09:12:28 CET 2016
android-volley,mcxiaoke,https://github.com/mcxiaoke/android-volley,NIL,NIL,Java,3833,1614,1871,Tue Apr 12 17:07:09 CEST 2016
ActiveAndroid,pardom,https://github.com/pardom/ActiveAndroid,NIL,NIL,Java,3811,963,18083,Mon May 16 18:37:03 CEST 2016
ShowcaseView,amlcurran,https://github.com/amlcurran/ShowcaseView,NIL,NIL,Java,3808,1080,20289,Sun May 15 17:56:18 CEST 2016
facebook-android-sdk,facebook,https://github.com/facebook/facebook-android-sdk,NIL,NIL,Java,3780,2219,18208,Fri May 27 04:32:59 CEST 2016
roboguice,roboguice,https://github.com/roboguice/roboguice,NIL,NIL,Java,3767,927,69791,Tue Mar 08 23:47:01 CET 2016
lucida,claritylab,https://github.com/claritylab/lucida,NIL,NIL,Java,3761,634,1310157,Fri May 27 22:54:31 CEST 2016
u2020,JakeWharton,https://github.com/JakeWharton/u2020,NIL,NIL,Java,3720,729,11438,Thu May 05 01:40:29 CEST 2016
