sep=,
Class,WMC,DIT,NOC,CBO,RFC,LCOM,DAC,MPC,NOM,SIZE1,SIZE2,Faults,Changes,Authors,Age
org.junit.runner.Request,12,1,5,25,30,0,2,20,12,77,12,5,20,12,2169
org.junit.experimental.categories.IncludeCategories,4,2,0,7,6,0,2,3,2,12,3,3,12,6,350
org.junit.validator.AnnotationsValidator$AnnotatableValidator,12,1,3,21,22,0,2,17,1,85,8,1,4,4,141
org.junit.rules.Stopwatch$1,0,1,0,2,0,0,0,0,0,0,0,1,2,2,0
org.junit.experimental.theories.ParameterSignature,41,1,0,29,49,0,0,49,10,262,20,3,15,9,174
org.junit.rules.ExpectedException$ExpectedExceptionStatement,5,2,0,3,7,0,1,5,2,29,4,8,32,16,1775
org.junit.internal.builders.NullBuilder,3,2,0,6,3,0,2,1,2,5,2,1,5,5,52
junit.framework.TestSuite,59,1,1,33,84,0,1,150,20,501,28,6,21,14,1763
org.junit.ComparisonFailure$ComparisonCompactor,19,1,0,8,27,0,0,39,2,180,15,2,11,9,601
org.junit.runner.Result$1,0,1,0,2,0,0,0,0,0,0,0,2,14,9,1833
org.junit.experimental.categories.Categories$IncludeCategory,2,1,0,4,2,0,0,0,2,0,2,1,14,8,1996
org.junit.runners.model.FrameworkMethod$1,3,2,0,5,5,0,1,3,0,24,5,2,9,8,498
org.junit.rules.ExpectedExceptionMatcherBuilder,10,1,0,9,19,0,0,12,0,52,8,2,9,8,675
junit.framework.JUnit4TestAdapterCache$1,7,2,0,6,11,0,0,9,3,38,6,1,9,7,1069
org.junit.runners.parameterized.BlockJUnit4ClassRunnerWithParameters$InjectionType,4,2,0,6,8,0,0,5,2,41,7,0,1,1,0
org.junit.internal.requests.SortingRequest,2,2,0,5,6,0,2,4,2,24,4,2,6,6,598
junit.extensions.TestSetup,6,3,0,6,7,0,2,3,2,17,4,1,5,5,52
org.junit.internal.ArrayComparisonFailure,7,4,0,11,21,0,0,22,4,85,7,2,13,11,1263
org.junit.runner.Request$1,2,2,0,2,3,0,2,1,1,10,3,1,5,5,52
org.junit.runner.Computer$1,3,2,0,6,4,0,2,2,1,18,4,1,5,5,52
